Gene,Max Cell Type
LACTB2,
LAD1,
LAG3,
LAGE3,
LAIR1,Human Microglia/Macrophage
LAIR2,
LALBA,
LAMA1,Human mature astrocytes
LAMA2,Human Endothelial
LAMA3,
LAMA4,Human Endothelial
LAMA5,
LAMB1,Human Neurons
LAMB2,
LAMB2P1,Human mature astrocytes
LAMB3,Human Neurons
LAMB4,
LAMC1,
LAMC2,Human Neurons
LAMC3,
LAMP1,
LAMP2,Human Oligodendrocytes
LAMP3,
LAMP5,Human Neurons
LAMTOR1,
LAMTOR2,
LAMTOR3,
LANCL1,
LANCL2,
LANCL3,Human Neurons
LAP3,
LAPTM4A,
LAPTM4B,Human Neurons
LAPTM5,Human Microglia/Macrophage
LARGE,Human Neurons
LARP1,Human Neurons
LARP1B,Human Neurons
LARP4,
LARP4B,
LARP6,Human Oligodendrocytes
LARP7,
LARS,
LARS2,Human mature astrocytes
LAS1L,
LASP1,Human Microglia/Macrophage
LAT,Human mature astrocytes
LAT2,Human Microglia/Macrophage
LATS1,
LATS2,
LAX1,
LAYN,Human Oligodendrocytes
LBH,
LBP,
LBR,Human Microglia/Macrophage
LBX1,
LBX2,
LCA5,
LCA5L,Human Neurons
LCAT,Human mature astrocytes
LCE1A,
LCE1B,
LCE1C,
LCE1D,
LCE1E,
LCE1F,
LCE2A,
LCE2B,
LCE2C,
LCE2D,
LCE3A,
LCE3B,
LCE3C,
LCE3D,
LCE3E,
LCE4A,
LCE5A,
LCE6A,
LCK,
LCLAT1,
LCMT1,Human Neurons
LCMT2,
LCN1,
LCN10,
LCN12,
LCN15,
LCN2,
LCN6,
LCN8,
LCN9,
LCNL1,
LCOR,
LCORL,
LCP1,Human Microglia/Macrophage
LCP2,Human Microglia/Macrophage
LCT,
LCTL,Human mature astrocytes
LDB1,
LDB2,Human Neurons
LDB3,Human Oligodendrocytes
LDHA,Human Neurons
LDHAL6A,Human Neurons
LDHAL6B,Human Microglia/Macrophage
LDHB,Human mature astrocytes
LDHC,Human Oligodendrocytes
LDHD,Human mature astrocytes
LDLR,
LDLRAD1,
LDLRAD2,
LDLRAD3,
LDLRAP1,Human Endothelial
LDOC1,Human Neurons
LDOC1L,
LEAP2,
LECT1,
LECT2,
LEF1,Human Endothelial
LEFTY1,Human Neurons
LEFTY2,
LEKR1,Human mature astrocytes
LELP1,
LEMD1,Human Endothelial
LEMD2,
LEMD3,
LENEP,
LENG1,Human Neurons
LENG8,
LENG9,Human Neurons
LEO1,Human Neurons
LEP,
LEPR,Human Endothelial
LEPRE1,
LEPREL1,Human Microglia/Macrophage
LEPREL2,
LEPREL4,Human mature astrocytes
LEPROT,Human mature astrocytes
LEPROTL1,Human Neurons
LETM1,Human mature astrocytes
LETM2,Human Neurons
LETMD1,Human Neurons
LEUTX,
LFNG,Human mature astrocytes
LGALS1,Human Endothelial
LGALS12,
LGALS13,
LGALS14,
LGALS16,
LGALS17A,
LGALS2,Human Microglia/Macrophage
LGALS3BP,Human mature astrocytes
LGALS4,Human mature astrocytes
LGALS7,
LGALS7B,
LGALS8,
LGALS8-AS1,
LGALS9,Human Microglia/Macrophage
LGALS9B,
LGALS9C,
LGALSL,Human Neurons
LGI1,
LGI2,Human Neurons
LGI3,Human Oligodendrocytes
LGI4,Human mature astrocytes
LGMN,Human Microglia/Macrophage
LGR4,Human mature astrocytes
LGR5,Human Oligodendrocytes
LGR6,Human mature astrocytes
LGSN,
LHB,
LHCGR,
LHFP,Human Endothelial
LHFPL1,Human mature astrocytes
LHFPL2,Human Microglia/Macrophage
LHFPL3,Human Oligodendrocytes
LHFPL4,Human Neurons
LHFPL5,Human Neurons
LHPP,
LHX1,
LHX2,Human mature astrocytes
LHX3,
LHX4,
LHX5,
LHX6,Human Neurons
LHX8,
LHX9,
LIAS,
LIF,
LIFR,Human mature astrocytes
LIG1,Human Microglia/Macrophage
LIG3,
LIG4,Human Neurons
LILRA1,Human Microglia/Macrophage
LILRA2,Human Microglia/Macrophage
LILRA3,
LILRA4,Human Microglia/Macrophage
LILRA5,
LILRA6,Human Microglia/Macrophage
LILRB2,Human Microglia/Macrophage
LILRB3,Human Microglia/Macrophage
LILRB4,Human Microglia/Macrophage
LILRP2,
LIM2,
LIMA1,Human Oligodendrocytes
LIMCH1,
LIMD2,Human Microglia/Macrophage
LIME1,
LIMK1,
LIMK2,Human mature astrocytes
LIMS1,Human Microglia/Macrophage
LIMS2,Human Endothelial
LIMS3,Human Endothelial
LIMS3,Human Microglia/Macrophage
LIMS3-LOC440895,
LIMS3-LOC440895,
LIMS3L,
LIMS3L,Human Microglia/Macrophage
LIN28A,Human mature astrocytes
LIN28B,
LIN37,
LIN52,Human mature astrocytes
LIN54,
LIN7A,Human Neurons
LIN7B,Human Endothelial
LIN7C,
LIN9,
LINC00028,
LINC00029,
LINC00032,
LINC00051,
LINC00052,
LINC00085,
LINC00086,
LINC00087,Human Neurons
LINC00092,Human mature astrocytes
LINC00094,
LINC00102,Human Microglia/Macrophage
LINC00111,
LINC00112,
LINC00113,
LINC00114,
LINC00115,Human Microglia/Macrophage
LINC00116,
LINC00152,Human Microglia/Macrophage
LINC00158,
LINC00159,
LINC00160,
LINC00161,Human Oligodendrocytes
LINC00162,
LINC00163,
LINC00167,Human Microglia/Macrophage
LINC00173,
LINC00174,Human mature astrocytes
LINC00176,
LINC00184,
LINC00189,Human Microglia/Macrophage
LINC00200,Human Microglia/Macrophage
LINC00202,Human Neurons
LINC00204A,
LINC00204A,
LINC00207,
LINC00208,
LINC00221,
LINC00222,Human Neurons
LINC00226,
LINC00229,
LINC00230A,
LINC00230A,
LINC00230B,
LINC00230B,
LINC00235,
LINC00238,
LINC00239,Human Endothelial
LINC00240,Human Neurons
LINC00242,Human Neurons
LINC00244,
LINC00246A,Human Neurons
LINC00251,
LINC00254,
LINC00256A,Human Oligodendrocytes
LINC00256B,
LINC00260,
LINC00261,
LINC00263,
LINC00264,
LINC00265,
LINC00266-1,
LINC00271,Human mature astrocytes
LINC00272,
LINC00273,
LINC00277,Human Neurons
LINC00281,
LINC00282,Human Neurons
LINC00284,
LINC00290,Human Neurons
LINC00293,
LINC00294,Human Neurons
LINC00299,Human mature astrocytes
LINC00301,
LINC00303,
LINC00304,
LINC00305,
LINC00307,
LINC00308,
LINC00309,Human Microglia/Macrophage
LINC00310,
LINC00311,
LINC00312,Human Endothelial
LINC00313,
LINC00314,Human Neurons
LINC00315,
LINC00317,
LINC00319,
LINC00320,Human Oligodendrocytes
LINC00323,Human Oligodendrocytes
LINC00324,
LINC00326,
LINC00327,Human Neurons
LINC00330,
LINC00336,
LINC00338,
LINC00339,Human Neurons
LINC00340,Human Neurons
LINC00341,Human Oligodendrocytes
LINC00346,Human Microglia/Macrophage
LINC00347,
LINC00410,
LINC00421,
LINC00426,Human mature astrocytes
LINC00442,
LINC00460,Human Endothelial
LINC00461,Human mature astrocytes
LINC00466,
LINC00467,Human mature astrocytes
LINC00469,
LINC00470,
LINC00471,
LINC00472,Human mature astrocytes
LINC00473,Human Neurons
LINC00474,
LINC00475,
LINC00476,
LINC00477,Human Microglia/Macrophage
LINC00478,Human mature astrocytes
LINC00479,
LINC00482,
LINC00483,
LINC00485,
LINC00486,Human Oligodendrocytes
LINC00487,
LINC00488,
LINC00493,Human Neurons
LINC00494,
LINC00511,
LINC00514,
LINC00515,
LINC00518,
LINC00520,
LINC00521,
LINC00523,
LINC00525,
LINC00526,
LINC00535,
LINC00536,
LINC00538,Human Neurons
LINC00547,
LINC00548,
LINC00550,
LINC00552,
LINC00574,
LINC00575,Human Oligodendrocytes
LINGO1,
LINGO2,Human Neurons
LINGO3,
LINGO4,
LINS,
LIPA,Human Microglia/Macrophage
LIPC,Human Microglia/Macrophage
LIPE,
LIPF,
LIPG,Human Microglia/Macrophage
LIPH,
LIPI,
LIPJ,
LIPK,
LIPM,
LIPN,Human Microglia/Macrophage
LIPT1,
LIPT2,
LITAF,
LIX1,Human mature astrocytes
LIX1L,Human mature astrocytes
LLGL1,Human mature astrocytes
LLGL2,
LLPH,
LMAN1,
LMAN1L,
LMAN2,
LMAN2L,
LMBR1,Human Neurons
LMBR1L,Human Microglia/Macrophage
LMBRD1,
LMBRD2,
LMCD1,Human Endothelial
LMF1,Human Oligodendrocytes
LMF2,
LMLN,
LMNA,Human Endothelial
LMNB1,
LMNB2,
LMO1,Human Neurons
LMO2,Human Endothelial
LMO3,
LMO4,Human Neurons
LMO7,Human Neurons
LMOD1,Human mature astrocytes
LMOD2,
LMOD3,Human Neurons
LMTK2,Human Neurons
LMTK3,
LMX1A,
LMX1B,
LNP1,Human Neurons
LNPEP,
LNX1,Human Neurons
LNX2,Human Neurons
LOC100009676,Human Endothelial
LOC100093631,
LOC100093631,
LOC100093698,
LOC100101266,
LOC100124692,Human mature astrocytes
LOC100125556,Human mature astrocytes
LOC100126784,
LOC100127888,
LOC100127983,Human Endothelial
LOC100128023,
LOC100128054,
LOC100128071,
LOC100128076,
LOC100128098,
LOC100128126,
LOC100128164,Human Neurons
LOC100128176,Human Microglia/Macrophage
LOC100128191,Human Microglia/Macrophage
LOC100128239,Human Neurons
LOC100128252,Human Neurons
LOC100128264,Human Neurons
LOC100128288,
LOC100128292,Human Neurons
LOC100128338,Human mature astrocytes
LOC100128361,
LOC100128398,Human Oligodendrocytes
LOC100128420,Human Microglia/Macrophage
LOC100128496,
LOC100128505,Human Oligodendrocytes
LOC100128511,
LOC100128531,Human Neurons
LOC100128554,
LOC100128568,Human mature astrocytes
LOC100128573,Human mature astrocytes
LOC100128590,
LOC100128593,
LOC100128640,
LOC100128675,Human Oligodendrocytes
LOC100128682,
LOC100128714,Human Endothelial
LOC100128750,
LOC100128787,
LOC100128788,
LOC100128811,Human Endothelial
LOC100128822,
LOC100128881,
LOC100128946,
LOC100128993,
LOC100129027,
LOC100129034,Human mature astrocytes
LOC100129046,Human Microglia/Macrophage
LOC100129055,
LOC100129083,
LOC100129138,
LOC100129148,
LOC100129175,
LOC100129196,
LOC100129213,
LOC100129216,Human mature astrocytes
LOC100129250,
LOC100129269,Human Microglia/Macrophage
LOC100129316,
LOC100129345,
LOC100129361,Human Neurons
LOC100129387,Human Microglia/Macrophage
LOC100129407,
LOC100129407,
LOC100129427,
LOC100129480,Human Neurons
LOC100129515,
LOC100129518,Human mature astrocytes
LOC100129520,
LOC100129534,
LOC100129550,Human Neurons
LOC100129617,Human Microglia/Macrophage
LOC100129620,
LOC100129636,
LOC100129636,
LOC100129636,
LOC100129636,
LOC100129636,
LOC100129636,
LOC100129636,
LOC100129636,
LOC100129662,Human Neurons
LOC100129716,
LOC100129722,
LOC100129726,Human Microglia/Macrophage
LOC100129794,Human Oligodendrocytes
LOC100129845,
LOC100129858,
LOC100129917,
LOC100129924,
LOC100129931,
LOC100129935,
LOC100129961,Human Neurons
LOC100130000,
LOC100130015,Human Neurons
LOC100130093,
LOC100130155,Human Neurons
LOC100130197,
LOC100130231,
LOC100130238,
LOC100130264,Human Neurons
LOC100130275,
LOC100130298,Human Microglia/Macrophage
LOC100130301,
LOC100130331,
LOC100130348,
LOC100130357,Human Microglia/Macrophage
LOC100130417,
LOC100130451,
LOC100130452,
LOC100130480,
LOC100130522,
LOC100130557,Human Microglia/Macrophage
LOC100130581,Human Oligodendrocytes
LOC100130673,Human Neurons
LOC100130691,
LOC100130700,Human Oligodendrocytes
LOC100130705,
LOC100130744,
LOC100130776,Human Endothelial
LOC100130849,
LOC100130855,
LOC100130872,
LOC100130880,
LOC100130890,
LOC100130894,Human mature astrocytes
LOC100130899,
LOC100130950,Human Microglia/Macrophage
LOC100130954,
LOC100130964,
LOC100130987,
LOC100130992,
LOC100131047,
LOC100131060,Human Oligodendrocytes
LOC100131067,Human Oligodendrocytes
LOC100131089,
LOC100131094,
LOC100131096,Human Microglia/Macrophage
LOC100131138,
LOC100131176,
LOC100131193,Human mature astrocytes
LOC100131208,Human Neurons
LOC100131234,
LOC100131257,
LOC100131289,
LOC100131320,Human Oligodendrocytes
LOC100131347,
LOC100131366,
LOC100131434,Human Microglia/Macrophage
LOC100131496,
LOC100131551,
LOC100131564,Human Microglia/Macrophage
LOC100131626,
LOC100131635,
LOC100131655,
LOC100131691,
LOC100131726,
LOC100131733,
LOC100131825,
LOC100132077,Human Neurons
LOC100132078,
LOC100132111,Human Oligodendrocytes
LOC100132146,
LOC100132163,
LOC100132215,
LOC100132247,Human Endothelial
LOC100132273,
LOC100132287,
LOC100132287,
LOC100132352,
LOC100132354,
LOC100132356,Human mature astrocytes
LOC100132396,
LOC100132526,
LOC100132707,Human mature astrocytes
LOC100132724,Human Microglia/Macrophage
LOC100132735,Human Microglia/Macrophage
LOC100132774,
LOC100132781,
LOC100132831,
LOC100132832,Human Microglia/Macrophage
LOC100132891,
LOC100132987,Human mature astrocytes
LOC100133050,Human mature astrocytes
LOC100133091,Human Neurons
LOC100133123,
LOC100133161,Human Microglia/Macrophage
LOC100133267,
LOC100133286,
LOC100133308,Human Neurons
LOC100133315,Human mature astrocytes
LOC100133331,Human Microglia/Macrophage
LOC100133331,
LOC100133331,
LOC100133445,
LOC100133461,
LOC100133612,
LOC100133669,Human Neurons
LOC100133920,Human Endothelial
LOC100133920,Human Endothelial
LOC100133957,Human mature astrocytes
LOC100133985,Human Oligodendrocytes
LOC100133991,
LOC100134015,
LOC100134229,
LOC100134259,
LOC100134317,
LOC100134368,
LOC100134713,
LOC100134868,Human mature astrocytes
LOC100144595,
LOC100144597,
LOC100144602,Human Neurons
LOC100144603,Human mature astrocytes
LOC100144604,
LOC100169752,
LOC100170939,Human Oligodendrocytes
LOC100188947,Human mature astrocytes
LOC100189589,
LOC100190938,Human Neurons
LOC100190940,Human Endothelial
LOC100190986,Human Microglia/Macrophage
LOC100192204,Human Neurons
LOC100192378,Human mature astrocytes
LOC100192426,
LOC100216001,
LOC100216479,
LOC100216545,Human Microglia/Macrophage
LOC100216546,Human Microglia/Macrophage
LOC100233156,Human Endothelial
LOC100233209,Human Microglia/Macrophage
LOC100240734,
LOC100240735,Human Oligodendrocytes
LOC100268168,
LOC100270679,
LOC100270746,Human Neurons
LOC100270804,
LOC100271702,
LOC100271722,Human mature astrocytes
LOC100271832,
LOC100271836,
LOC100272216,Human Microglia/Macrophage
LOC100272217,
LOC100272228,Human mature astrocytes
LOC100286793,
LOC100286844,
LOC100286922,
LOC100286938,
LOC100286979,Human Endothelial
LOC100287010,
LOC100287015,
LOC100287036,Human Microglia/Macrophage
LOC100287042,
LOC100287177,Human Endothelial
LOC100287216,Human Microglia/Macrophage
LOC100287225,Human Oligodendrocytes
LOC100287314,
LOC100287482,Human Neurons
LOC100287559,
LOC100287616,Human mature astrocytes
LOC100287632,Human Neurons
LOC100287718,Human Neurons
LOC100287722,
LOC100287765,
LOC100287792,
LOC100287814,
LOC100287834,
LOC100287834,
LOC100287846,Human Neurons
LOC100287879,Human Neurons
LOC100287944,
LOC100288069,Human Microglia/Macrophage
LOC100288077,
LOC100288079,
LOC100288122,Human Microglia/Macrophage
LOC100288123,
LOC100288181,
LOC100288198,
LOC100288255,
LOC100288346,
LOC100288428,
LOC100288432,Human Microglia/Macrophage
LOC100288524,
LOC100288570,
LOC100288615,Human Oligodendrocytes
LOC100288637,
LOC100288748,
LOC100288778,Human mature astrocytes
LOC100288814,Human Endothelial
LOC100288842,
LOC100288846,
LOC100288911,
LOC100288974,Human Neurons
LOC100289019,
LOC100289092,
LOC100289178,
LOC100289187,
LOC100289211,
LOC100289230,
LOC100289255,Human mature astrocytes
LOC100289341,Human Endothelial
LOC100289361,
LOC100289473,Human mature astrocytes
LOC100289495,
LOC100289509,
LOC100289511,
LOC100289561,Human mature astrocytes
LOC100289650,Human Oligodendrocytes
LOC100289656,
LOC100289673,
LOC100292680,
LOC100293534,
LOC100293534,
LOC100293534,
LOC100293534,
LOC100293534,
LOC100294145,
LOC100294145,Human Neurons
LOC100294145,
LOC100294145,
LOC100294145,
LOC100294145,
LOC100294145,
LOC100294145,Human Neurons
LOC100294362,
LOC100302401,Human mature astrocytes
LOC100302640,
LOC100302650,
LOC100303749,
LOC100306951,Human Oligodendrocytes
LOC100306975,
LOC100329109,Human Neurons
LOC100329135,Human Microglia/Macrophage
LOC100335030,Human Microglia/Macrophage
LOC100379224,Human Neurons
LOC100422737,
LOC100498859,Human Microglia/Macrophage
LOC100499177,Human Neurons
LOC100499183,Human mature astrocytes
LOC100499194,Human Microglia/Macrophage
LOC100499227,
LOC100499405,Human Microglia/Macrophage
LOC100499466,
LOC100499467,
LOC100499484,
LOC100499489,
LOC100500773,
LOC100500938,Human Endothelial
LOC100505474,Human Neurons
LOC100505478,
LOC100505483,Human Neurons
LOC100505495,Human Endothelial
LOC100505536,
LOC100505540,
LOC100505545,
LOC100505549,Human Microglia/Macrophage
LOC100505576,Human Neurons
LOC100505583,
LOC100505619,
LOC100505622,
LOC100505624,
LOC100505633,
LOC100505648,
LOC100505658,Human Microglia/Macrophage
LOC100505659,Human mature astrocytes
LOC100505666,
LOC100505676,Human mature astrocytes
LOC100505678,Human mature astrocytes
LOC100505679,Human Oligodendrocytes
LOC100505681,Human Microglia/Macrophage
LOC100505687,Human Neurons
LOC100505695,
LOC100505696,Human Neurons
LOC100505702,Human Microglia/Macrophage
LOC100505715,
LOC100505716,Human Neurons
LOC100505718,
LOC100505738,Human Neurons
LOC100505746,
LOC100505761,Human Neurons
LOC100505768,Human Neurons
LOC100505776,
LOC100505782,
LOC100505783,Human Neurons
LOC100505795,Human mature astrocytes
LOC100505806,Human Oligodendrocytes
LOC100505812,
LOC100505815,Human Microglia/Macrophage
LOC100505817,
LOC100505826,Human Microglia/Macrophage
LOC100505835,Human mature astrocytes
LOC100505839,Human Neurons
LOC100505841,
LOC100505854,Human Neurons
LOC100505865,
LOC100505875,Human Neurons
LOC100505876,Human Neurons
LOC100505894,
LOC100505912,
LOC100505918,
LOC100505933,
LOC100505964,
LOC100505967,
LOC100505978,
LOC100505989,
LOC100506012,Human Neurons
LOC100506013,
LOC100506023,
LOC100506025,
LOC100506033,
LOC100506035,
LOC100506046,Human Neurons
LOC100506050,
LOC100506054,
LOC100506068,Human Neurons
LOC100506071,Human Neurons
LOC100506083,Human Oligodendrocytes
LOC100506085,
LOC100506100,Human Neurons
LOC100506122,
LOC100506123,Human Neurons
LOC100506123,Human Neurons
LOC100506124,Human Neurons
LOC100506134,
LOC100506136,Human mature astrocytes
LOC100506172,Human Neurons
LOC100506178,Human Microglia/Macrophage
LOC100506190,Human Microglia/Macrophage
LOC100506195,Human Neurons
LOC100506207,Human mature astrocytes
LOC100506229,
LOC100506233,Human Oligodendrocytes
LOC100506241,
LOC100506274,
LOC100506305,Human Microglia/Macrophage
LOC100506314,Human Microglia/Macrophage
LOC100506321,
LOC100506334,Human Microglia/Macrophage
LOC100506343,
LOC100506368,
LOC100506384,Human Oligodendrocytes
LOC100506385,Human Microglia/Macrophage
LOC100506388,Human Microglia/Macrophage
LOC100506393,
LOC100506394,
LOC100506409,Human mature astrocytes
LOC100506421,
LOC100506422,
LOC100506433,
LOC100506451,Human mature astrocytes
LOC100506462,Human Oligodendrocytes
LOC100506469,
LOC100506472,
LOC100506474,Human Oligodendrocytes
LOC100506497,Human Microglia/Macrophage
LOC100506540,
LOC100506548,
LOC100506585,
LOC100506599,Human mature astrocytes
LOC100506649,Human mature astrocytes
LOC100506650,
LOC100506655,
LOC100506660,
LOC100506668,Human Neurons
LOC100506686,
LOC100506688,
LOC100506710,Human Neurons
LOC100506713,
LOC100506714,
LOC100506730,Human mature astrocytes
LOC100506733,Human Microglia/Macrophage
LOC100506746,Human mature astrocytes
LOC100506757,Human Neurons
LOC100506776,
LOC100506779,Human Microglia/Macrophage
LOC100506795,Human mature astrocytes
LOC100506801,Human mature astrocytes
LOC100506804,Human Oligodendrocytes
LOC100506810,Human Neurons
LOC100506835,Human Endothelial
LOC100506844,
LOC100506866,Human Microglia/Macrophage
LOC100506874,
LOC100506888,
LOC100506895,Human Neurons
LOC100506930,Human Neurons
LOC100506939,
LOC100506963,
LOC100506990,
LOC100506994,
LOC100507003,
LOC100507032,
LOC100507034,Human Neurons
LOC100507043,Human Neurons
LOC100507050,
LOC100507053,Human mature astrocytes
LOC100507055,
LOC100507062,
LOC100507066,
LOC100507086,
LOC100507091,
LOC100507096,
LOC100507117,
LOC100507127,Human mature astrocytes
LOC100507140,Human Oligodendrocytes
LOC100507156,Human Microglia/Macrophage
LOC100507173,Human Neurons
LOC100507178,
LOC100507194,Human mature astrocytes
LOC100507203,Human Microglia/Macrophage
LOC100507205,
LOC100507206,Human mature astrocytes
LOC100507217,Human Oligodendrocytes
LOC100507218,Human mature astrocytes
LOC100507240,
LOC100507244,
LOC100507246,Human Microglia/Macrophage
LOC100507250,
LOC100507254,Human Neurons
LOC100507266,
LOC100507299,Human mature astrocytes
LOC100507300,Human mature astrocytes
LOC100507331,Human Microglia/Macrophage
LOC100507334,
LOC100507341,Human Neurons
LOC100507346,Human mature astrocytes
LOC100507351,
LOC100507362,
LOC100507362,
LOC100507362,
LOC100507362,
LOC100507362,
LOC100507362,
LOC100507362,
LOC100507362,
LOC100507373,
LOC100507377,
LOC100507387,Human Neurons
LOC100507389,
LOC100507391,
LOC100507392,Human Endothelial
LOC100507401,
LOC100507404,
LOC100507404,Human Microglia/Macrophage
LOC100507410,
LOC100507412,
LOC100507421,Human Neurons
LOC100507423,
LOC100507424,Human Oligodendrocytes
LOC100507433,
LOC100507443,
LOC100507462,
LOC100507463,Human Endothelial
LOC100507463,Human Endothelial
LOC100507463,Human Endothelial
LOC100507463,Human Endothelial
LOC100507463,Human Endothelial
LOC100507463,Human Endothelial
LOC100507463,Human Endothelial
LOC100507463,Human Endothelial
LOC100507466,Human mature astrocytes
LOC100507470,Human mature astrocytes
LOC100507472,
LOC100507489,Human Neurons
LOC100507495,Human Microglia/Macrophage
LOC100507501,Human mature astrocytes
LOC100507537,
LOC100507547,
LOC100507547,
LOC100507547,
LOC100507547,
LOC100507547,
LOC100507547,
LOC100507547,
LOC100507547,
LOC100507557,Human mature astrocytes
LOC100507564,
LOC100507567,Human Endothelial
LOC100507577,Human Microglia/Macrophage
LOC100507582,
LOC100507584,
LOC100507588,
LOC100507589,Human mature astrocytes
LOC100507600,
LOC100507605,
LOC100507629,Human Neurons
LOC100507632,Human Microglia/Macrophage
LOC100507634,Human Microglia/Macrophage
LOC100507651,
LOC100508120,Human mature astrocytes
LOC100509575,
LOC100509894,Human Oligodendrocytes
LOC100526771,
LOC100527964,Human Neurons
LOC100616530,Human mature astrocytes
LOC100616668,
LOC100628307,
LOC100630918,Human Oligodendrocytes
LOC100630923,
LOC100631378,Human mature astrocytes
LOC100652730,
LOC100652739,
LOC100652759,
LOC100652768,
LOC100652770,
LOC100652791,
LOC100652846,
LOC100652909,
LOC100652999,
LOC100653515,Human Microglia/Macrophage
LOC100859930,Human Microglia/Macrophage
LOC100861402,
LOC113230,
LOC115110,
LOC116437,
LOC120824,
LOC126536,
LOC127841,
LOC139201,Human Neurons
LOC143188,
LOC143666,
LOC144481,Human Neurons
LOC144486,
LOC144571,Human mature astrocytes
LOC144742,
LOC145216,
LOC145474,Human Microglia/Macrophage
LOC145663,
LOC145783,
LOC145820,Human Endothelial
LOC145837,
LOC145845,
LOC146336,
LOC146481,Human Oligodendrocytes
LOC146513,
LOC146880,
LOC147093,
LOC147646,Human Microglia/Macrophage
LOC147670,Human Neurons
LOC147727,
LOC147804,
LOC148145,
LOC148189,Human Neurons
LOC148413,
LOC148696,Human Microglia/Macrophage
LOC148709,Human mature astrocytes
LOC148824,
LOC149086,
LOC149134,
LOC149373,
LOC149773,
LOC149837,
LOC149950,
LOC150185,
LOC150197,
LOC150381,
LOC150527,
LOC150527,
LOC150568,Human Neurons
LOC150622,Human Oligodendrocytes
LOC150776,
LOC150935,
LOC151009,Human Neurons
LOC151171,
LOC151174,
LOC151300,
LOC151475,Human Microglia/Macrophage
LOC151484,
LOC151534,Human Endothelial
LOC151658,Human Neurons
LOC152024,
LOC152217,Human Neurons
LOC152225,
LOC152578,
LOC152742,
LOC153469,
LOC153684,Human Microglia/Macrophage
LOC153910,
LOC154092,Human Oligodendrocytes
LOC154449,
LOC154761,
LOC154822,
LOC154860,Human mature astrocytes
LOC154872,Human Microglia/Macrophage
LOC155060,
LOC157273,
LOC157381,Human Neurons
LOC157627,Human Neurons
LOC158257,Human Microglia/Macrophage
LOC158376,Human Endothelial
LOC158434,
LOC158435,Human mature astrocytes
LOC158572,Human mature astrocytes
LOC158696,Human Neurons
LOC170425,
LOC1720,
LOC200261,
LOC200726,
LOC200772,
LOC201477,Human Neurons
LOC201617,Human Oligodendrocytes
LOC201651,
LOC202181,
LOC202781,
LOC219347,Human mature astrocytes
LOC219731,Human mature astrocytes
LOC220729,
LOC220906,Human Neurons
LOC221122,
LOC221442,Human Oligodendrocytes
LOC253039,Human Neurons
LOC253044,
LOC253573,
LOC253962,
LOC254099,
LOC254100,
LOC254128,Human Oligodendrocytes
LOC254312,Human mature astrocytes
LOC254559,
LOC254896,
LOC255025,
LOC255130,
LOC255167,Human Neurons
LOC255411,
LOC255480,
LOC255512,
LOC255654,
LOC256021,
LOC256880,
LOC257358,Human Microglia/Macrophage
LOC257396,Human Neurons
LOC282980,
LOC282997,Human Endothelial
LOC283033,
LOC283038,Human Neurons
LOC283050,
LOC283070,Human Neurons
LOC283089,Human mature astrocytes
LOC283104,
LOC283116,
LOC283143,Human mature astrocytes
LOC283174,
LOC283177,Human Neurons
LOC283194,
LOC283214,
LOC283299,
LOC283332,
LOC283335,Human Oligodendrocytes
LOC283392,Human Oligodendrocytes
LOC283403,
LOC283404,
LOC283440,
LOC283481,
LOC283547,Human Oligodendrocytes
LOC283553,Human mature astrocytes
LOC283585,
LOC283587,
LOC283624,Human Neurons
LOC283663,
LOC283683,Human Neurons
LOC283688,
LOC283692,
LOC283693,Human mature astrocytes
LOC283710,
LOC283731,Human Neurons
LOC283738,Human mature astrocytes
LOC283761,Human Oligodendrocytes
LOC283788,
LOC283856,Human mature astrocytes
LOC283867,
LOC283888,
LOC283914,
LOC283922,
LOC284009,
LOC284023,
LOC284080,
LOC284100,
LOC284215,Human Neurons
LOC284260,
LOC284276,
LOC284294,
LOC284344,
LOC284379,
LOC284385,
LOC284395,
LOC284408,Human Neurons
LOC284412,Human Neurons
LOC284440,
LOC284454,Human Microglia/Macrophage
LOC284551,
LOC284576,
LOC284578,Human Neurons
LOC284581,
LOC284632,
LOC284648,
LOC284661,
LOC284688,
LOC284751,
LOC284757,Human Microglia/Macrophage
LOC284788,
LOC284798,Human Neurons
LOC284801,
LOC284837,
LOC284865,
LOC284889,
LOC284933,
LOC284950,Human Microglia/Macrophage
LOC284998,Human mature astrocytes
LOC285000,
LOC285033,
LOC285074,
LOC285084,Human Neurons
LOC285103,
LOC285205,
LOC285326,
LOC285359,
LOC285370,
LOC285375,Human Neurons
LOC285401,
LOC285419,Human Microglia/Macrophage
LOC285441,Human mature astrocytes
LOC285456,
LOC285484,Human Neurons
LOC285501,
LOC285540,
LOC285547,
LOC285548,
LOC285577,
LOC285593,Human Neurons
LOC285626,Human Microglia/Macrophage
LOC285627,Human Microglia/Macrophage
LOC285629,
LOC285692,
LOC285696,Human Neurons
LOC285740,Human Microglia/Macrophage
LOC285758,Human Microglia/Macrophage
LOC285762,
LOC285768,
LOC285796,Human Oligodendrocytes
LOC285819,
LOC285847,
LOC285878,Human Neurons
LOC285889,Human Neurons
LOC285954,Human Neurons
LOC285965,
LOC285972,Human Microglia/Macrophage
LOC286002,Human Neurons
LOC286059,Human Endothelial
LOC286083,
LOC286094,
LOC286114,
LOC286135,
LOC286177,
LOC286184,
LOC286186,Human Oligodendrocytes
